Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
1068,47.1,1000,1.4
1069,47.1,1000,1.4
1070,47.1,1000,1.4
1071,47.1,999,1.4
1073,47.1,999,1.4
1074,47.1,1000,1.4
1075,47.1,1000,1.4
1076,46.5,1000,1.4
1077,47.6,1000,1.4
1078,47.1,1000,1.4
1079,47.6,1000,1.4
1081,47.1,1000,1.4
1082,47.1,1000,1.4
1083,46.5,1000,1.4
1084,46.5,1000,1.4
1085,47.1,1000,1.4
1086,47.1,1000,1.4
1088,47.1,1000,1.4
1089,47.1,999,1.4
1090,47.1,1000,1.4
1091,47.1,999,1.4
1092,47.6,1000,1.4
1093,47.1,1000,1.4
1095,47.1,1000,1.4
1096,47.1,1000,1.4
1097,47.1,1000,1.4
1098,47.1,999,1.4
1099,46.5,1000,1.4
1100,47.1,1000,1.4
1102,47.6,1000,1.4
1103,47.1,1000,1.4
1104,47.1,1000,1.4
1105,47.1,1000,1.4
1106,46.5,999,1.4
1107,46.5,1000,1.4
1108,46.5,1000,1.4
1110,47.1,1000,1.4
1111,47.1,1000,1.4
1112,47.1,1000,1.4
1113,46.5,1000,1.4
1114,47.1,1000,1.4
1115,47.1,1000,1.4
1117,47.1,1000,1.4
1118,47.6,1000,1.4
1119,47.6,1000,1.4
1120,47.1,1000,1.4
1121,47.1,1000,1.4
1122,47.1,1000,1.4
1124,47.1,999,1.4
1125,47.1,1000,1.4
1126,47.1,999,1.4
1127,47.6,1000,1.4
1128,47.1,1000,1.4
1129,47.6,1000,1.4
1130,46.5,999,1.4
1132,47.1,999,1.4
1133,47.1,1000,1.4
1134,47.1,1000,1.4
1135,47.6,1000,1.4
1136,47.1,1000,1.4
1137,47.1,1000,1.4
1139,46.5,1000,1.4
1140,47.1,1000,1.4
1141,47.1,1000,1.4
1142,46.5,1000,1.4
1143,47.1,999,1.4
1144,47.1,1000,1.4
1146,47.1,1000,1.4
1147,47.1,1000,1.4
1148,46.5,1000,1.4
1149,46.5,1000,1.4
1150,47.1,1000,1.4
1151,47.1,1000,1.4
1152,46.5,1000,1.4
1154,47.1,1000,1.4
1155,47.1,1000,1.4
1156,47.1,1000,1.4
1157,47.1,1000,1.4
1158,47.1,1000,1.4
1159,47.6,1000,1.4
1161,47.1,1000,1.4
1162,47.6,999,1.4
1163,47.6,1000,1.4
1164,47.6,1000,1.4
1165,47.6,1000,1.4
1166,47.1,1000,1.4
1168,47.1,1000,1.4
1169,47.1,999,1.4
1170,46.5,1000,1.4
1171,46.5,1000,1.4
1172,47.1,1000,1.4
1173,47.6,1000,1.4
1174,47.6,1000,1.4
1176,47.1,999,1.4
1177,47.6,1000,1.4
1178,47.1,1000,1.4
1179,46.5,1000,1.4
1180,47.1,1000,1.4
1181,47.1,1000,1.4
1183,47.1,1000,1.4
1184,47.1,1000,1.4
1185,47.6,1000,1.4
1186,47.1,999,1.4
1187,47.1,1000,1.4
1188,47.1,1000,1.4
1190,46.5,1000,1.4
1191,47.1,1000,1.4
1192,47.1,1000,1.4
1193,47.6,1000,1.4
1194,47.1,1000,1.4
1195,47.6,1000,1.4
1197,47.1,1000,1.4
1198,47.1,1000,1.4
1199,47.1,1000,1.4
1200,47.1,1000,1.4
1201,47.1,1000,1.4
1202,47.1,999,1.4
1203,47.1,1000,1.4
1205,47.1,1000,1.4
1206,47.1,1000,1.4
1207,46.5,1000,1.4
1208,47.1,1000,1.4
1209,47.6,1000,1.4
1210,47.1,1000,1.4
1212,47.6,1000,1.4
1213,47.1,1000,1.4
1214,47.1,1000,1.4
1215,47.1,1000,1.4
1216,47.6,999,1.4
1217,47.1,1000,1.4
1219,47.1,1000,1.4
1220,47.1,1000,1.4
1221,46.5,1000,1.4
1222,46.5,1000,1.4
1223,46.5,1000,1.4
1224,46.5,1000,1.4
1225,47.1,999,1.4
1227,46.5,1000,1.4
1228,47.1,1000,1.4
